Property_ID,Listing_Date,Sale_Price,Bedrooms,Bathrooms,SqFt_Living,SqFt_Lot,Floors,Waterfront,Year_Built,Year_Renovated,City,Zip_Code,Price_per_SqFt,Property_Size_Tier,Property_Age,Age_Group
PROP_00001,2026-04-24,1948950.0,4,3.5,4260,12780,2.5,0,1956,2021,Tech Park District,30045,457.5,Large,70,Established
PROP_00002,2025-07-28,272580.0,4,2.5,1540,9240,1.0,0,1956,0,Greenwood Valley,40082,177.0,Medium,70,Established
PROP_00003,2025-06-13,328556.0,4,1.5,1485,2970,2.0,0,2004,2019,Greenwood Valley,40082,221.2,Small,22,Mordern
PROP_00004,2025-10-19,175685.0,1,1.0,857,4285,1.5,0,1982,0,Coastal Suburbs,20011,205.0,Small,44,Established
PROP_00005,2025-10-04,754880.0,4,3.5,3370,10110,3.0,0,2007,0,Greenwood Valley,40081,224.0,Large,19,Mordern
PROP_00006,2025-09-23,834771.0,5,3.5,2667,10668,2.0,0,1957,0,Metro City,10001,313.0,Medium,69,Established
PROP_00007,2025-08-11,394593.0,1,1.0,1403,7015,1.5,0,1979,2025,Greenwood Valley,40081,281.2,Small,47,Established
PROP_00008,2025-07-23,252655.0,4,1.0,1495,2990,1.5,0,1963,0,Metro City,10004,169.0,Small,63,Established
PROP_00009,2026-05-13,1206928.0,4,3.5,3856,23136,2.5,0,1973,0,Metro City,10002,313.0,Large,53,Established
PROP_00010,2026-03-07,225609.0,4,2.0,1437,8622,2.0,0,2010,0,Metro City,10001,157.0,Small,16,Mordern
PROP_00011,2025-07-15,121961.0,1,1.5,917,2751,2.0,0,2004,0,Tech Park District,30046,133.0,Small,22,Mordern
PROP_00012,2026-03-30,1266430.0,4,3.5,3176,25408,2.5,0,1992,2025,Coastal Suburbs,20013,398.8,Large,34,Established
PROP_00013,2026-01-03,207600.0,2,1.0,1730,3460,1.5,0,1978,0,Tech Park District,30046,120.0,Medium,48,Established
PROP_00014,2025-06-17,147620.0,3,2.5,1220,6100,1.0,0,1996,0,Greenwood Valley,40081,121.0,Small,30,Mordern
PROP_00015,2025-06-16,450765.0,2,2.0,1701,5103,2.0,0,1955,2019,Tech Park District,30045,265.0,Medium,71,Established
PROP_00016,2025-07-18,233593.0,3,1.5,1495,8970,1.0,0,1972,2017,Coastal Suburbs,20012,156.2,Small,54,Established
PROP_00017,2025-09-20,330562.0,1,2.0,1230,4920,1.5,0,1971,2025,Metro City,10002,268.7,Small,55,Established
PROP_00018,2025-09-28,299490.0,2,1.5,1192,7152,1.5,0,2004,2019,Greenwood Valley,40081,251.2,Small,22,Mordern
PROP_00019,2026-02-14,1267941.0,5,3.0,3743,14972,2.0,0,1966,2025,Metro City,10002,338.7,Large,60,Established
PROP_00020,2026-04-05,285500.0,4,1.0,1142,6852,1.5,0,1997,0,Greenwood Valley,40081,250.0,Small,29,Mordern
PROP_00021,2025-06-14,502830.0,3,2.5,2265,11325,1.5,0,1954,0,Greenwood Valley,40081,222.0,Medium,72,Established
PROP_00022,2026-03-15,1077930.0,5,3.0,3654,21924,2.5,0,1982,0,Coastal Suburbs,20012,295.0,Large,44,Established
PROP_00023,2025-09-10,410970.0,3,1.5,1995,3990,1.5,0,2004,0,Coastal Suburbs,20011,206.0,Medium,22,Mordern
PROP_00024,2026-04-29,243261.0,4,2.0,1359,6795,1.0,0,1983,0,Greenwood Valley,40082,179.0,Small,43,Established
PROP_00025,2026-05-26,163314.0,1,2.0,1266,2532,1.0,0,1975,0,Tech Park District,30045,129.0,Small,51,Established
PROP_00026,2026-03-07,584598.0,3,1.5,2245,13470,1.0,1,1951,0,Tech Park District,30046,260.4,Medium,75,Established
