Property_ID,Listing_Date,Sale_Price,Bedrooms,Bathrooms,SqFt_Living,SqFt_Lot,Floors,Waterfront,Year_Built,Year_Renovated,City,Zip_Code
PROP_00001,2026-04-24,1948950,4,3.5,4260,12780,2.5,0,1956,2021,Tech Park District,30045
PROP_00002,2025-07-28,272580,4,2.5,1540,9240,1.0,0,1956,0,Greenwood Valley,40082
PROP_00003,2025-06-13,328556,4,1.5,1485,2970,2.0,0,2004,2019,Greenwood Valley,40082
PROP_00004,2025-10-19,175685,1,1.0,857,4285,1.5,0,1982,0,Coastal Suburbs,20011
PROP_00005,2025-10-04,754880,4,3.5,3370,10110,3.0,0,2007,0,Greenwood Valley,40081
PROP_00006,2025-09-23,834771,5,3.5,2667,10668,2.0,0,1957,0,Metro City,10001
PROP_00007,2025-08-11,394593,1,1.0,1403,7015,1.5,0,1979,2025,Greenwood Valley,40081
PROP_00008,2025-07-23,252655,4,1.0,1495,2990,1.5,0,1963,0,Metro City,10004
PROP_00009,2026-05-13,1206928,4,3.5,3856,23136,2.5,0,1973,0,Metro City,10002
PROP_00010,2026-03-07,225609,4,2.0,1437,8622,2.0,0,2010,0,Metro City,10001
PROP_00011,2025-07-15,121961,1,1.5,917,2751,2.0,0,2004,0,Tech Park District,30046
PROP_00012,2026-03-30,1266430,4,3.5,3176,25408,2.5,0,1992,2025,Coastal Suburbs,20013
PROP_00013,2026-01-03,207600,2,1.0,1730,3460,1.5,0,1978,0,Tech Park District,30046
PROP_00014,2025-06-17,147620,3,2.5,1220,6100,1.0,0,1996,0,Greenwood Valley,40081
PROP_00015,2025-06-16,450765,2,2.0,1701,5103,2.0,0,1955,2019,Tech Park District,30045
PROP_00016,2025-07-18,233593,3,1.5,1495,8970,1.0,0,1972,2017,Coastal Suburbs,20012
PROP_00017,2025-09-20,330562,1,2.0,1230,4920,1.5,0,1971,2025,Metro City,10002
PROP_00018,2025-09-28,299490,2,1.5,1192,7152,1.5,0,2004,2019,Greenwood Valley,40081
PROP_00019,2026-02-14,1267941,5,3.0,3743,14972,2.0,0,1966,2025,Metro City,10002
PROP_00020,2026-04-05,285500,4,1.0,1142,6852,1.5,0,1997,0,Greenwood Valley,40081
PROP_00021,2025-06-14,502830,3,2.5,2265,11325,1.5,0,1954,0,Greenwood Valley,40081
PROP_00022,2026-03-15,1077930,5,3.0,3654,21924,2.5,0,1982,0,Coastal Suburbs,20012
PROP_00023,2025-09-10,410970,3,1.5,1995,3990,1.5,0,2004,0,Coastal Suburbs,20011
PROP_00024,2026-04-29,243261,4,2.0,1359,6795,1.0,0,1983,0,Greenwood Valley,40082
PROP_00025,2026-05-26,163314,1,2.0,1266,2532,1.0,0,1975,0,Tech Park District,30045
PROP_00026,2026-03-07,584598,3,1.5,2245,13470,1.0,1,1951,0,Tech Park District,30046
PROP_00027,2026-01-01,582862,5,4.0,2449,14694,3.0,0,2000,0,Tech Park District,30046
PROP_00028,2025-09-21,342813,4,2.5,1497,2994,1.5,0,2003,0,Coastal Suburbs,20012
PROP_00029,2026-01-16,485310,2,2.0,2311,4622,1.5,0,1993,0,Greenwood Valley,40081
PROP_00030,2026-03-29,777088,6,3.5,3736,26152,2.0,0,1967,0,Greenwood Valley,40082
PROP_00031,2025-10-21,2166255,7,7.5,4761,61893,3.0,0,1992,0,Tech Park District,30046
PROP_00032,2025-06-04,183812,1,1.5,865,5190,1.5,0,1958,2022,Greenwood Valley,40082
PROP_00033,2025-08-21,186151,1,2.5,917,3668,2.0,0,2002,0,Tech Park District,30045
PROP_00034,2026-05-24,317604,4,1.0,1596,4788,1.0,0,2005,0,Metro City,10002
PROP_00035,2026-01-03,285324,3,1.5,1829,9145,1.5,0,2007,0,Greenwood Valley,40081
PROP_00036,2025-11-22,337171,4,2.5,1747,10482,1.0,0,2008,0,Greenwood Valley,40081
PROP_00037,2025-10-21,388087,2,2.5,1310,3930,2.0,0,1999,2018,Tech Park District,30046
PROP_00038,2025-08-19,192313,1,1.5,1123,4492,2.0,0,1977,2022,Metro City,10004
PROP_00039,2025-09-19,408111,1,2.0,1639,8195,1.0,0,1955,0,Metro City,10003
PROP_00040,2025-11-20,248248,4,1.5,1612,3224,1.0,0,1991,0,Metro City,10004
PROP_00041,2025-07-23,431851,1,1.5,2261,11305,1.0,0,1970,0,Greenwood Valley,40082
PROP_00042,2025-07-18,216216,1,2.5,1144,2288,2.0,0,1969,0,Metro City,10001
PROP_00043,2025-12-12,-150000,2,2.5,2226,4452,2.0,0,1999,0,Coastal Suburbs,20011
PROP_00044,2025-07-20,429151,1,2.5,2371,7113,1.0,0,1975,0,Greenwood Valley,40081
PROP_00045,2025-12-01,3271414,8,5.0,7286,109290,2.5,0,1971,0,Greenwood Valley,40081
PROP_00046,2025-11-24,431171,3,2.0,1951,5853,2.0,0,2004,0,Metro City,10004
PROP_00047,2026-04-06,384651,2,1.0,1623,6492,1.0,0,1978,0,Coastal Suburbs,20011
PROP_00048,2025-10-14,289634,2,2.5,1417,8502,1.5,1,1971,0,Tech Park District,30046
PROP_00049,2025-06-23,4611434,9,5.0,5861,41027,4.0,1,2011,0,Metro City,10003
PROP_00050,2026-01-22,192676,2,1.0,1276,2552,2.0,0,1989,0,Metro City,10004
PROP_00051,2026-03-02,338472,1,1.5,1567,7835,1.5,0,1976,0,Greenwood Valley,40081
PROP_00052,2025-08-03,139620,4,2.0,1074,4296,1.5,0,2003,0,Coastal Suburbs,20013
PROP_00053,2025-12-11,237168,3,2.0,1296,3888,2.0,0,1978,0,Tech Park District,30045
PROP_00054,2025-07-11,281736,1,1.0,1806,3612,1.0,0,1976,0,Greenwood Valley,40082
PROP_00055,2026-03-10,365961,2,1.5,1839,3678,1.5,0,1971,0,Coastal Suburbs,20013
PROP_00056,2025-10-29,295830,2,2.0,1384,8304,1.5,0,1984,2023,Coastal Suburbs,20012
PROP_00057,2026-04-18,391690,2,2.5,1703,8515,2.0,0,1969,0,Metro City,10003
PROP_00058,2026-04-13,885720,5,2.5,3630,25410,3.0,0,1982,0,Greenwood Valley,40081
PROP_00059,2025-12-03,235638,4,1.0,1482,4446,2.0,0,1974,0,Tech Park District,30046
PROP_00060,2026-03-23,400200,4,2.5,2320,9280,1.5,0,2002,2017,Tech Park District,30046
PROP_00061,2025-09-07,509106,4,2.0,2379,9516,2.0,0,1957,0,Greenwood Valley,40081
PROP_00062,2026-05-27,328444,1,2.0,2092,4184,2.0,0,1983,0,Greenwood Valley,40081
PROP_00063,2025-07-06,226502,2,1.0,1039,2078,2.0,0,2000,0,Coastal Suburbs,20012
PROP_00064,2025-06-24,1154496,4,4.0,3436,27488,2.5,0,1998,0,Metro City,10002
PROP_00065,2026-05-05,334125,3,1.5,1350,4050,2.0,0,1950,2023,Greenwood Valley,40081
PROP_00066,2025-09-25,353100,4,2.5,2140,8560,2.0,0,1997,0,Metro City,10001
PROP_00067,2025-10-27,325526,1,2.5,1961,5883,1.0,0,1974,0,Coastal Suburbs,20011
PROP_00068,2025-07-11,182970,1,1.5,963,3852,1.0,0,1958,0,Greenwood Valley,40082
PROP_00069,2025-09-28,120250,1,1.0,925,3700,1.0,0,1962,0,Coastal Suburbs,20012
PROP_00070,2025-07-22,473207,3,2.5,1769,7076,2.0,0,1993,2019,Metro City,10004
PROP_00071,2025-12-12,327672,1,2.0,1476,2952,1.0,0,1967,0,Tech Park District,30046
PROP_00072,2025-10-21,1364892,4,3.5,4252,29764,3.0,0,2015,0,Metro City,10003
PROP_00073,2026-01-19,5622870,8,4.5,7096,70960,2.5,1,2006,0,Coastal Suburbs,20011
PROP_00074,2026-04-22,243020,1,2.0,1676,8380,2.0,0,1999,0,Greenwood Valley,40082
